timestamp,configuration,run_number,total_lookups,cache_hits,cache_hit_percent,bucket_hits,bucket_hit_percent,cache_hit_latency_ns,cache_hit_stddev_ns,bucket_search_latency_ns,bucket_search_stddev_ns,context_predictions_total,context_correct,context_accuracy_percent,rolling_window_width,decay_slope,vm_workload_duration_ns_q48,cpu_temp_delta_c_q48,cpu_freq_delta_mhz_q48,adaptive_shrink_rate,heat_cache_demotion_threshold,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI
2025-11-09T11:42:41,A_C_FULL,30,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.2,0,0,0,0,4096,236831375360,0,8192000,1,1000,4096,75,10,0,1
2025-11-09T11:42:50,A_B_C_FULL,17,4001,294,7.35,2988,74.68,39,1702,50,4111,851,752,88.37,4096,2,5,0.098246,1.210526,88.37,851,752,0,4096,335220703232,0,0,1,1000,4096,75,10,1,1
2025-11-09T11:42:50,A_B_C_FULL,24,4001,294,7.35,2988,74.68,37,1564,48,3635,851,752,88.37,4096,2,5,0.094737,1.207018,88.37,851,752,0,4096,315621244928,0,131072,1,1000,4096,75,10,1,1
2025-11-09T11:42:58,A_BASELINE,4,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.098246,0.526316,0,0,0,0,4096,250608287744,0,0,1,1000,4096,75,10,0,0
2025-11-09T11:42:58,A_BASELINE,8,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.098246,0.536842,0,0,0,0,4096,306436112384,0,-65536,1,1000,4096,75,10,0,0
2025-11-09T11:42:58,A_BASELINE,20,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.098246,0.526316,0,0,0,0,4096,305000939520,0,0,1,1000,4096,75,10,0,0
2025-11-09T11:43:06,A_B_C_FULL,10,4001,294,7.35,2988,74.68,40,1863,52,43318,851,752,88.37,4096,2,5,0.094737,1.214035,88.37,851,752,0,4096,326644465664,0,65536,1,1000,4096,75,10,1,1
2025-11-09T11:43:14,A_BASELINE,26,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.101754,0.470175,0,0,0,0,4096,234868113408,0,0,1,1000,4096,75,10,0,0
2025-11-09T11:43:14,A_BASELINE,22,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.098246,0.533333,0,0,0,0,4096,231072530432,0,65536,1,1000,4096,75,10,0,0
2025-11-09T11:43:23,A_C_FULL,1,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.2,0,0,0,0,4096,293100322816,0,65536,1,1000,4096,75,10,0,1
2025-11-09T11:43:23,A_C_FULL,14,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.115789,0.175439,0,0,0,0,4096,314684473344,0,196608,1,1000,4096,75,10,0,1
2025-11-09T11:43:31,A_B_C_FULL,14,4001,294,7.35,2988,74.68,39,1743,51,4338,851,752,88.37,4096,2,5,0.094737,1.217544,88.37,851,752,0,4096,342579937280,0,65536,1,1000,4096,75,10,1,1
2025-11-09T11:43:31,A_B_C_FULL,7,4001,294,7.35,2988,74.68,39,1741,48,3689,851,752,88.37,4096,2,5,0.094737,1.207018,88.37,851,752,0,4096,313632358400,0,65536,1,1000,4096,75,10,1,1
2025-11-09T11:43:39,A_C_FULL,11,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.196491,0,0,0,0,4096,303889121280,0,-65536,1,1000,4096,75,10,0,1
2025-11-09T11:43:48,A_B_CACHE,2,4001,15,0.37,3267,81.65,32,1085,42,2316,0,0,0,4096,2,0,0.098246,0.526316,0,0,0,0,4096,204542377984,0,-327680,1,1000,4096,75,10,1,0
2025-11-09T11:43:56,A_B_C_FULL,29,4001,294,7.35,2988,74.68,40,2437,48,3534,851,752,88.37,4096,2,5,0.094737,1.207018,88.37,851,752,0,4096,307266846720,0,-65536,1,1000,4096,75,10,1,1
2025-11-09T11:44:04,A_B_CACHE,18,4001,15,0.37,3267,81.65,29,939,45,3056,0,0,0,4096,2,0,0.098246,0.526316,0,0,0,0,4096,252437463040,0,0,1,1000,4096,75,10,1,0
2025-11-09T11:44:13,A_C_FULL,28,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.2,0,0,0,0,4096,313508888576,0,-65536,1,1000,4096,75,10,0,1
2025-11-09T11:44:21,A_B_CACHE,27,4001,15,0.37,3267,81.65,33,1188,51,165150,0,0,0,4096,2,0,0.101754,0.508772,0,0,0,0,4096,245030125568,0,-131072,1,1000,4096,75,10,1,0
2025-11-09T11:44:21,A_B_CACHE,24,4001,15,0.37,3267,81.65,26,706,55,306190,0,0,0,4096,2,0,0.098246,0.526316,0,0,0,0,4096,243097600000,0,65536,1,1000,4096,75,10,1,0
2025-11-09T11:44:29,A_BASELINE,7,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.098246,0.57193,0,0,0,0,4096,326241812480,0,0,1,1000,4096,75,10,0,0
2025-11-09T11:44:38,A_B_CACHE,26,4001,15,0.37,3267,81.65,28,855,45,3320,0,0,0,4096,2,0,0.101754,0.512281,0,0,0,0,4096,253698703360,0,0,1,1000,4096,75,10,1,0
2025-11-09T11:44:46,A_C_FULL,21,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.196491,0,0,0,0,4096,314411515904,0,65536,1,1000,4096,75,10,0,1
2025-11-09T11:44:46,A_C_FULL,10,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.2,0,0,0,0,4096,305484005376,0,-65536,1,1000,4096,75,10,0,1
2025-11-09T11:44:54,A_BASELINE,10,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.098246,0.533333,0,0,0,0,4096,231809351680,0,-3407872,1,1000,4096,75,10,0,0
2025-11-09T11:45:02,A_B_C_FULL,8,4001,294,7.35,2988,74.68,41,2114,47,3408,851,752,88.37,4096,2,5,0.094737,1.207018,88.37,851,752,0,4096,320043089920,0,-1703936,1,1000,4096,75,10,1,1
2025-11-09T11:45:11,A_C_FULL,4,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.2,0,0,0,0,4096,502664331264,0,0,1,1000,4096,75,10,0,1
2025-11-09T11:45:19,A_B_CACHE,22,4001,15,0.37,3267,81.65,31,1079,46,3312,0,0,0,4096,2,0,0.098246,0.526316,0,0,0,0,4096,287861506048,0,0,1,1000,4096,75,10,1,0
